period,biomass_stock,dom_stock,eco_stock,total_emission,gross_growth,net_emission
1,395373165.2838174,851096172.6535074,1246469337.9373248,18007805.152157087,18918836.667386267,-911031.5152291805
2,425201030.8237798,841541942.7315925,1266742973.5553722,17556637.608897664,20336801.784628265,-2780164.175730601
3,458206822.508128,842560195.5030146,1300767018.0111425,17869149.60917244,21686410.17398356,-3817260.564811118
4,492524254.3455423,849367739.4908177,1341891993.83636,18426145.49556723,22713229.07549747,-4287083.579930242
5,525278876.11431426,859450926.5484235,1384729802.6627378,19011734.683118746,23267834.247670118,-4256099.564551372
6,553886303.7287256,871240289.3918611,1425126593.1205866,19534445.530156896,23414972.842248797,-3880527.312091902
7,577095279.1515268,883846177.4523647,1460941456.6038914,19974677.306424104,23343704.565928385,-3369027.259504281
8,595012257.3884554,896709602.109523,1491721859.4979784,20337865.290412087,23209346.441220246,-2871481.1508081593
9,608223445.8653919,909548363.4616683,1517771809.32706,20637030.309575822,23049320.14521702,-2412289.835641198
10,617575021.7583528,922115373.8086537,1539690395.5670063,20880657.29867382,22914480.159561362,-2033822.8608875424
11,623836983.4764138,934331794.3045958,1558168777.7810097,21080563.01146351,22792160.77321593,-1711597.7617524192
12,627703509.1614606,946057421.3313234,1573760930.492784,21242179.871083304,22689537.718826994,-1447357.84774369
13,629694685.4955659,957251995.0180992,1586946680.513665,21373210.85189912,22595238.839203443,-1222027.9873043224
14,630295594.6809075,967759089.6704162,1598054684.3513236,21475072.77550552,22503921.08866858,-1028848.3131630607
15,629877486.8186765,977504843.3529898,1607382330.1716661,21552215.829568245,22413654.572250757,-861438.7426825128
16,628774205.8963389,986432324.9556744,1615206530.8520133,21607214.35344018,22331948.371570002,-724734.0181298219
17,627258217.3304327,994578765.9251053,1621836983.255538,21645240.468032278,22262691.105759494,-617450.6377272159
18,625552162.3083326,1001936080.4864254,1627488242.7947578,21668657.90206108,22196350.995217994,-527693.0931569152
19,623805068.6456058,1008545372.7282072,1632350441.373813,21680813.80573459,22137440.621658564,-456626.8159239739
20,622150579.8237044,1014444652.5087463,1636595232.3324506,21683547.967209365,22086165.831468288,-402617.86425892264
